Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2021-05-04,23744441,1991368,6186320,12972,0
Germany,2021-05-05,24645681,2070767,6411902,17575,0
Germany,2021-05-06,25342669,2163547,6619017,22259,0
Germany,2021-05-07,25900546,2250594,6827447,26840,0
Germany,2021-05-08,26157797,2322748,6909476,28547,0
Germany,2021-05-09,26348831,2379329,6941672,29624,0
Germany,2021-05-10,26729117,2461425,7078872,33975,0
Germany,2021-05-11,27630296,2542242,7260289,37805,0
Germany,2021-05-12,28771040,2634708,7490835,43626,0
Germany,2021-05-13,29071297,2701733,7535295,46308,0
Germany,2021-05-14,29603363,2766859,7671696,54153,0
Germany,2021-05-15,29872314,2827794,7731493,58450,0
Germany,2021-05-16,30067144,2880386,7753539,63191,0
Germany,2021-05-17,30394915,2966470,7881624,73231,0
Germany,2021-05-18,31036621,3067848,8062774,81166,0
Germany,2021-05-19,31913152,3168749,8263013,93620,0
Germany,2021-05-20,32623398,3266245,8429574,104341,0
Germany,2021-05-21,33203413,3352431,8594729,116445,0
Germany,2021-05-22,33452734,3421454,8659270,130650,0
Germany,2021-05-23,33641716,3481054,8674072,139467,0
Germany,2021-05-24,33872826,3542768,8689270,147631,0
Germany,2021-05-25,34343079,3622757,8796181,176846,0
Germany,2021-05-26,35308339,3706023,8935177,265932,0
Germany,2021-05-27,36055716,3795894,9068529,352157,0
Germany,2021-05-28,36642422,3882134,9197150,438791,0
Germany,2021-05-29,36894164,3944791,9259366,468402,0
Germany,2021-05-30,37084488,3991967,9286171,477720,0
Germany,2021-05-31,37465358,4059986,9366920,529634,0
Germany,2021-06-01,38252483,4139897,9442370,615329,0
Germany,2021-06-02,39300972,4213122,9523424,730585,0
Germany,2021-06-03,39773529,4277879,9573738,784664,0
Germany,2021-06-04,40345963,4349088,9651484,863556,0
Germany,2021-06-05,40609665,4416081,9695114,901763,0
Germany,2021-06-06,40803857,4456833,9719972,914838,0
Germany,2021-06-07,41198524,4541959,9796348,969273,0
Germany,2021-06-08,42135171,4617507,9858874,1042453,0
Germany,2021-06-09,43392191,4704894,9923493,1142236,0
Germany,2021-06-10,44370529,4794559,9981690,1235645,0
Germany,2021-06-11,45151380,4884286,10050086,1333680,0
Germany,2021-06-12,45428009,4957140,10095550,1372696,0
Germany,2021-06-13,45591740,5020670,10119176,1383904,0
Germany,2021-06-14,46003307,5122220,10191199,1440673,0
Germany,2021-06-15,46895720,5226722,10276432,1502826,0
