AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2020,17.981,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2020,414.363,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,547.794,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,528.482,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2023,547.68,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,2217.997,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,15854.743,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,11482.311,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2020,1643.329,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2023,2019.052,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,1531.635,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,1409.724,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2020,638.286,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,677.9,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,0.044,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,0.065,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2020,0.25,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,416.343,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2023,381.007,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,2574.006,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,663.747,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,12.411,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,5.362,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2020,2.628,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2022,207.163,6,Millions
BGR,Bulgaria,Annual,Expenditure,"US dollars, PPP converted",,,2021,479.457,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,39.625,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,110.772,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2021,238.823,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2020,745.565,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2023,4.351,6,Millions
CAN,Canada,Annual,Expenditure,"US dollars, PPP converted",,,2022,107.475,6,Millions
