Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Austria,25/6/2021,5525637,754797,1286561,108044,0
Austria,26/6/2021,5587214,763518,1301942,111798,0
Austria,27/6/2021,5648791,772240,1317324,115553,0
Austria,28/6/2021,5710368,780961,1332706,119308,0
Austria,29/6/2021,5771946,789683,1348088,123063,0
Austria,30/6/2021,5833523,798404,1363470,126818,0
Austria,1/7/2021,5895100,807126,1378852,130573,0
Austria,2/7/2021,5956678,815848,1394234,134328,0
Austria,3/7/2021,6008205,823200,1403469,137905,0
Austria,4/7/2021,6059733,830553,1412705,141483,0
Austria,5/7/2021,6111261,837906,1421940,145060,0
Austria,6/7/2021,6162788,845259,1431176,148638,0
Austria,7/7/2021,6214316,852612,1440411,152215,0
Austria,8/7/2021,6265844,859965,1449647,155793,0
Austria,9/7/2021,6317372,867318,1458883,159371,0
Austria,10/7/2021,6361892,873838,1465837,162224,0
Austria,11/7/2021,6406413,880358,1472791,165078,0
Austria,12/7/2021,6450934,886879,1479745,167932,0
Austria,13/7/2021,6495455,893399,1486699,170786,0
Austria,14/7/2021,6539976,899920,1493653,173640,0
Austria,15/7/2021,6584497,906440,1500607,176494,0
Austria,16/7/2021,6629018,912961,1507561,179348,0
Austria,17/7/2021,6669376,919701,1511436,181795,0
Austria,18/7/2021,6709735,926442,1515311,184242,0
Austria,19/7/2021,6750093,933183,1519186,186689,0
Austria,20/7/2021,6790452,939924,1523062,189136,0
Austria,21/7/2021,6830810,946665,1526937,191583,0
Austria,22/7/2021,6871169,953406,1530812,194030,0
Austria,23/7/2021,6911528,960147,1534688,196477,0
Austria,24/7/2021,6947752,962964,1538267,198274,0
Austria,25/7/2021,6983977,965782,1541846,200072,0
Austria,26/7/2021,7020201,968600,1545425,201870,0
Austria,27/7/2021,7056426,971417,1549004,203668,0
Austria,28/7/2021,7092650,974235,1552583,205466,0
Austria,29/7/2021,7128875,977053,1556162,207264,0
Austria,30/7/2021,7165100,979871,1559741,209062,0
Austria,31/7/2021,7196363,982569,1561812,211315,0
Austria,1/8/2021,7227626,985268,1563883,213568,0
Austria,2/8/2021,7258889,987967,1565954,215821,0
Austria,3/8/2021,7290152,990665,1568025,218074,0
Austria,4/8/2021,7321415,993364,1570096,220327,0
Austria,5/8/2021,7352678,996063,1572167,222580,0
Austria,6/8/2021,7383942,998762,1574239,224833,0
Austria,7/8/2021,7406419,1000214,1575013,226375,0
Austria,8/8/2021,7428897,1001666,1575788,227918,0
Austria,9/8/2021,7451375,1003118,1576563,229460,0
Austria,10/8/2021,7473853,1004571,1577338,231003,0
Austria,11/8/2021,7496331,1006023,1578113,232545,0
Austria,12/8/2021,7518809,1007475,1578888,234088,0
Austria,13/8/2021,7541287,1008928,1579663,235631,0
Austria,14/8/2021,7558705,1011005,1580053,237610,0
Austria,15/8/2021,7576124,1013083,1580443,239590,0
Austria,16/8/2021,7593543,1015161,1580833,241570,0
Austria,17/8/2021,7610961,1017238,1581223,243549,0
Austria,18/8/2021,7628380,1019316,1581613,245529,0
Austria,19/8/2021,7645799,1021394,1582003,247509,0
Austria,20/8/2021,7663218,1023472,1582393,249489,0
Austria,21/8/2021,7674519,1024095,1582661,251523,0
Austria,22/8/2021,7685820,1024718,1582930,253557,0
Austria,23/8/2021,7697121,1025342,1583199,255591,0
Austria,24/8/2021,7708422,1025965,1583468,257626,0
Austria,25/8/2021,7719723,1026589,1583737,259660,0
Austria,26/8/2021,7731024,1027212,1584006,261694,0
Austria,27/8/2021,7742326,1027836,1584275,263729,0
Austria,28/8/2021,7752468,1028720,1584546,265650,0
Austria,29/8/2021,7762611,1029605,1584818,267571,0
Austria,30/8/2021,7772753,1030490,1585089,269492,0
Austria,31/8/2021,7782896,1031375,1585361,271414,0
Austria,1/9/2021,7793038,1032260,1585632,273335,0
Austria,2/9/2021,7803181,1033145,1585904,275256,0
Austria,3/9/2021,7813324,1034030,1586176,277178,0
Austria,4/9/2021,7823867,1034564,1586338,279235,0
Austria,5/9/2021,7834411,1035099,1586501,281292,0
Austria,6/9/2021,7844955,1035633,1586664,283350,0
Austria,7/9/2021,7855499,1036168,1586827,285407,0
Austria,8/9/2021,7866043,1036702,1586990,287465,0
Austria,9/9/2021,7876587,1037237,1587153,289522,0
Austria,10/9/2021,7887131,1037772,1587316,291580,0
Austria,11/9/2021,7900094,1038544,1587450,293262,0
Austria,12/9/2021,7913057,1039316,1587585,294945,0
Austria,13/9/2021,7926020,1040088,1587720,296627,0
Austria,14/9/2021,7938984,1040860,1587854,298310,0
Austria,15/9/2021,7951947,1041632,1587989,299992,0
Austria,16/9/2021,7964910,1042404,1588124,301675,0
Austria,17/9/2021,7977874,1043177,1588259,303358,0
Austria,18/9/2021,7991228,1043831,1588417,305386,0
Austria,19/9/2021,8004582,1044485,1588575,307415,0
Austria,20/9/2021,8017936,1045139,1588733,309443,0
Austria,21/9/2021,8031291,1045793,1588891,311472,0
Austria,22/9/2021,8044645,1046447,1589049,313500,0
Austria,23/9/2021,8057999,1047101,1589207,315529,0
Austria,24/9/2021,8071354,1047755,1589365,317558,0
Austria,25/9/2021,8085703,1048497,1589467,318682,0
Austria,26/9/2021,8100053,1049240,1589569,319806,0
Austria,27/9/2021,8114403,1049983,1589671,320930,0
Austria,28/9/2021,8128752,1050725,1589774,322054,0
Austria,29/9/2021,8143102,1051468,1589876,323178,0
Austria,30/9/2021,8157452,1052211,1589978,324302,0
Austria,1/10/2021,8171802,1052954,1590081,325427,0
Austria,2/10/2021,8190363,1053825,1590136,326060,0
Austria,3/10/2021,8208925,1054696,1590192,326694,0
Austria,4/10/2021,8227486,1055567,1590247,327328,0
Austria,5/10/2021,8246048,1056438,1590303,327961,0
Austria,6/10/2021,8264609,1057309,1590358,328595,0
Austria,7/10/2021,8283171,1058180,1590414,329229,0
Austria,8/10/2021,8301733,1059051,1590470,329863,0
Austria,9/10/2021,8319466,1060111,1590517,330300,0
Austria,10/10/2021,8337200,1061172,1590564,330737,0
Austria,11/10/2021,8354934,1062233,1590611,331174,0
Austria,12/10/2021,8372667,1063293,1590659,331611,0
Austria,13/10/2021,8390401,1064354,1590706,332048,0
Austria,14/10/2021,8408135,1065415,1590753,332485,0
Austria,15/10/2021,8425869,1066476,1590801,332922,0
Austria,16/10/2021,8446600,1067723,1590834,333444,0
Austria,17/10/2021,8467331,1068970,1590868,333966,0
Austria,18/10/2021,8488063,1070217,1590902,334489,0
Austria,19/10/2021,8508794,1071465,1590936,335011,0
Austria,20/10/2021,8529526,1072712,1590970,335534,0
Austria,21/10/2021,8550257,1073959,1591004,336056,0
Austria,22/10/2021,8570989,1075207,1591038,336579,0
Austria,23/10/2021,8590069,1076218,1591070,337409,0
Austria,24/10/2021,8609150,1077229,1591102,338240,0
Austria,25/10/2021,8628231,1078240,1591135,339071,0
Austria,26/10/2021,8647311,1079251,1591167,339901,0
Austria,27/10/2021,8666392,1080262,1591200,340732,0
Austria,28/10/2021,8685473,1081273,1591232,341563,0
Austria,29/10/2021,8704554,1082285,1591265,342394,0
Austria,30/10/2021,8739510,1084331,1591300,343131,0
Austria,31/10/2021,8774466,1086377,1591335,343869,0
Austria,1/11/2021,8809422,1088423,1591370,344607,0
Austria,2/11/2021,8844378,1090470,1591405,345345,0
Austria,3/11/2021,8879334,1092516,1591440,346083,0
Austria,4/11/2021,8914290,1094562,1591475,346821,0
Austria,5/11/2021,8949246,1096609,1591510,347559,0
