Country,Code,Year,OBS_VALUE
Africa,,2022,502829020.0
Africa,,2022,503699600.0
Africa,,2022,504493730.0
Africa,,2022,505466100.0
Africa,,2022,506455000.0
Africa,,2022,507474800.0
Africa,,2022,508294980.0
Africa,,2022,509082980.0
Africa,,2022,510078400.0
Africa,,2022,511104400.0
Africa,,2022,512234200.0
Africa,,2022,513277950.0
Africa,,2022,514320830.0
Africa,,2022,515366200.0
Africa,,2022,516371550.0
Africa,,2022,517366270.0
Africa,,2022,518391800.0
Africa,,2022,519396580.0
Africa,,2022,520393600.0
Africa,,2022,521367800.0
Africa,,2022,522332260.0
Africa,,2022,523276600.0
Africa,,2022,527435400.0
Africa,,2022,531613540.0
Africa,,2022,535798140.0
Africa,,2022,540047100.0
Africa,,2022,544223300.0
Africa,,2022,548391300.0
Africa,,2022,552540200.0
Africa,,2022,553971000.0
Africa,,2022,555793800.0
Africa,,2022,557614600.0
Africa,,2022,559098240.0
Africa,,2022,560504000.0
Africa,,2022,561907500.0
Africa,,2022,563310600.0
Africa,,2022,564583300.0
Africa,,2022,565856640.0
Africa,,2022,567069250.0
Africa,,2022,568280900.0
Africa,,2022,569550000.0
Africa,,2022,570774100.0
Africa,,2022,571978560.0
Africa,,2022,573284300.0
Africa,,2022,574608830.0
Africa,,2022,575934700.0
Africa,,2022,577256800.0
Africa,,2022,578573600.0
Africa,,2022,579888600.0
Africa,,2022,581554500.0
Africa,,2022,582944260.0
Africa,,2022,584349600.0
Africa,,2022,585489600.0
Africa,,2022,586637250.0
Africa,,2022,587780900.0
Africa,,2022,588908740.0
Africa,,2022,590031200.0
Africa,,2022,591029000.0
Africa,,2022,592050240.0
Africa,,2022,593089860.0
Africa,,2022,594055230.0
Africa,,2022,595018700.0
Africa,,2022,595982600.0
Africa,,2022,596935000.0
Africa,,2022,597867460.0
Africa,,2022,598805800.0
Africa,,2022,599748900.0
Africa,,2022,600689660.0
Africa,,2022,601629700.0
Africa,,2022,602566800.0
Africa,,2022,603497500.0
Africa,,2022,604306500.0
Africa,,2022,605116700.0
Africa,,2022,605915500.0
Africa,,2022,606726660.0
Africa,,2022,607536960.0
Africa,,2022,608300400.0
Africa,,2022,609055550.0
Africa,,2022,609797760.0
Africa,,2022,610672060.0
Africa,,2022,611552830.0
Africa,,2022,612427840.0
Africa,,2022,613306560.0
Africa,,2022,614186200.0
Africa,,2022,615050240.0
Africa,,2022,615934900.0
Africa,,2022,616830300.0
Africa,,2022,617726850.0
Africa,,2022,618626400.0
Africa,,2022,619522900.0
Africa,,2022,620416800.0
Africa,,2022,621298600.0
Africa,,2022,622087500.0
Africa,,2022,622894460.0
Africa,,2022,623691100.0
Africa,,2022,624488060.0
Africa,,2022,625285100.0
Africa,,2022,626080640.0
Africa,,2022,626869500.0
Africa,,2022,627525250.0
Africa,,2022,628188860.0
Africa,,2022,628853500.0
Africa,,2022,629517760.0
Africa,,2022,630181900.0
Africa,,2022,630845760.0
Africa,,2022,631501600.0
Africa,,2022,632146600.0
Africa,,2022,632825900.0
Africa,,2022,633509900.0
Africa,,2022,634193700.0
Africa,,2022,634877440.0
Africa,,2022,635556200.0
Africa,,2022,636234940.0
Africa,,2022,637209900.0
Africa,,2022,638198500.0
Africa,,2022,639187700.0
Africa,,2022,640176400.0
