REF_AREA,Reference area,Health function,Price base,TIME_PERIOD,OBS_VALUE
CZE,Czechia,COVID-19 related costs for medical goods,Constant prices,2021,0.010939940038334263
DEU,Germany,COVID-19 related costs for medical goods,Constant prices,2021,8.286367961410397
DEU,Germany,COVID-19 related costs for vaccination,Constant prices,2021,9.001533926424036
DEU,Germany,COVID-19 related investment costs,Constant prices,2021,6.2476520824918635
DEU,Germany,COVID-19 related treatment costs,Constant prices,2021,6.994557550777466
DNK,Denmark,COVID-19 related treatment costs,Constant prices,2021,4.7220372467119365
DNK,Denmark,COVID-19 related costs for medical goods,Constant prices,2021,5.0184248763710855
DNK,Denmark,COVID-19 related costs for vaccination,Constant prices,2021,6.130291269692714
ESP,Spain,COVID-19 related costs for medical goods,Constant prices,2021,1.8811430303627406
ESP,Spain,COVID-19 related treatment costs,Constant prices,2021,9.092052433878012
ESP,Spain,COVID-19 related costs for vaccination,Constant prices,2021,7.5402114605227295
ESP,Spain,COVID-19 related investment costs,Constant prices,2021,5.763945813627473
EST,Estonia,COVID-19 related treatment costs,Constant prices,2021,4.489299071445159
EST,Estonia,COVID-19 related investment costs,Constant prices,2021,1.7376552102348541
EST,Estonia,COVID-19 related costs for vaccination,Constant prices,2021,4.1927106739669675
EST,Estonia,COVID-19 related costs for medical goods,Constant prices,2021,4.276027025950691
FRA,France,COVID-19 related treatment costs,Constant prices,2021,8.330018678054284
FRA,France,COVID-19 related costs for vaccination,Constant prices,2021,7.657386284787189
FRA,France,COVID-19 related costs for medical goods,Constant prices,2021,6.747721494246625
GBR,United Kingdom,COVID-19 related costs for vaccination,Constant prices,2021,8.920672863182773
GBR,United Kingdom,COVID-19 related costs for medical goods,Constant prices,2021,6.04973109673861
GRC,Greece,COVID-19 related costs for vaccination,Constant prices,2021,6.250434596199765
HRV,Croatia,COVID-19 related treatment costs,Constant prices,2021,5.93217887225186
HRV,Croatia,COVID-19 related costs for vaccination,Constant prices,2021,5.095644111746164
HRV,Croatia,COVID-19 related costs for medical goods,Constant prices,2021,2.0843046973458237
HUN,Hungary,COVID-19 related costs for vaccination,Constant prices,2021,6.883578358399782
IRL,Ireland,COVID-19 related costs for vaccination,Constant prices,2021,6.180567226697096
