STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COUNTRY,Country,WEEK,Week number,GENDER,Gender,AGE,Age,VARIABLE,Variable,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period,Month
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,42,42,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1,,A,,,,,,,,11
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,43,43,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,2,,A,,,,,,,,11
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,44,44,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,11
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,45,45,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,46,46,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,3,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,47,47,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,48,48,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,49,49,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,50,50,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,51,51,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,52,52,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,53,53,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,2,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,9,9,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,10,10,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,2,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,12,12,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,30,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,13,13,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,101,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,126,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,15,15,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,150,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,16,16,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,120,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,78,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,18,18,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,51,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,32,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,20,20,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,15,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,21,21,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,17,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,22,22,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,15,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,15,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,24,24,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,15,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,25,25,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,17,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,26,26,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,17,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,27,27,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,9,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,28,28,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,7,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,29,29,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,10,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,8,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,17,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,32,32,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,12,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,10,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,34,34,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,13,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,35,35,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,6,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,36,36,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,16,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,37,37,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,15,,A,,,,,,,,10
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,38,38,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,24,,A,,,,,,,,10
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,39,39,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,34,,A,,,,,,,,10
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,40,40,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,40,,A,,,,,,,,10
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,41,41,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,71,,A,,,,,,,,11
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,42,42,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,65,,A,,,,,,,,11
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,43,43,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,126,,A,,,,,,,,11
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,44,44,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,261,,A,,,,,,,,11
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,45,45,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,397,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,46,46,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,623,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,47,47,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,766,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,48,48,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,858,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,49,49,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,921,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,50,50,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,849,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,51,51,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,704,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,52,52,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,615,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUT,Austria,53,53,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,517,,A,,,,,,,,12
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,5,5,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,2
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,6,6,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,2
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,9,9,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,10,10,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,12,12,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,195,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,13,13,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,783,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1584,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,15,15,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1976,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,16,16,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1666,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1186,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,18,18,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,696,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,533,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,20,20,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,312,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,21,21,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,231,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,22,22,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,161,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,109,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,24,24,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,57,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,25,25,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,40,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,26,26,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,40,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,27,27,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,24,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,28,28,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,11,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,29,29,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,18,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,BEL,Belgium,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,14,,A,,,,,,,,8
