STRUCTURE_NAME,ACTION,COUNTRY,Country,WEEK,GENDER,AGE,Age,VARIABLE,Variable,Year,Deaths,Observation Value,Month,Expenditure
"Mortality, by week",I,AUT,Austria,44,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,261,,11,11.316
"Mortality, by week",I,AUT,Austria,45,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,397,,12,11.316
"Mortality, by week",I,AUT,Austria,46,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,623,,12,11.316
"Mortality, by week",I,AUT,Austria,47,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,766,,12,11.316
"Mortality, by week",I,AUT,Austria,48,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,858,,12,11.316
"Mortality, by week",I,AUT,Austria,49,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,921,,12,11.316
"Mortality, by week",I,AUT,Austria,50,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,849,,12,11.316
"Mortality, by week",I,AUT,Austria,51,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,704,,12,11.316
"Mortality, by week",I,AUT,Austria,52,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,615,,12,11.316
"Mortality, by week",I,AUT,Austria,53,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,517,,12,11.316
"Mortality, by week",I,BEL,Belgium,5,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,11.27
"Mortality, by week",I,BEL,Belgium,6,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,11.27
"Mortality, by week",I,BEL,Belgium,9,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,11.27
"Mortality, by week",I,BEL,Belgium,10,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,11.27
"Mortality, by week",I,BEL,Belgium,11,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,11.27
"Mortality, by week",I,BEL,Belgium,12,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,195,,3,11.27
"Mortality, by week",I,BEL,Belgium,13,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,783,,4,11.27
"Mortality, by week",I,BEL,Belgium,14,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1584,,4,11.27
"Mortality, by week",I,BEL,Belgium,15,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1976,,4,11.27
"Mortality, by week",I,BEL,Belgium,16,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1666,,4,11.27
"Mortality, by week",I,BEL,Belgium,17,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1186,,5,11.27
"Mortality, by week",I,BEL,Belgium,18,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,696,,5,11.27
"Mortality, by week",I,BEL,Belgium,19,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,533,,5,11.27
"Mortality, by week",I,BEL,Belgium,20,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,312,,5,11.27
"Mortality, by week",I,BEL,Belgium,21,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,231,,6,11.27
"Mortality, by week",I,BEL,Belgium,22,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,161,,6,11.27
"Mortality, by week",I,BEL,Belgium,23,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,109,,6,11.27
"Mortality, by week",I,BEL,Belgium,24,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,57,,6,11.27
"Mortality, by week",I,BEL,Belgium,25,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,40,,7,11.27
"Mortality, by week",I,BEL,Belgium,26,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,40,,7,11.27
"Mortality, by week",I,BEL,Belgium,27,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,24,,7,11.27
"Mortality, by week",I,BEL,Belgium,28,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,11,,7,11.27
"Mortality, by week",I,BEL,Belgium,29,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,18,,8,11.27
"Mortality, by week",I,BEL,Belgium,30,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,14,,8,11.27
"Mortality, by week",I,BEL,Belgium,31,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,21,,8,11.27
"Mortality, by week",I,BEL,Belgium,32,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,33,,8,11.27
"Mortality, by week",I,BEL,Belgium,33,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,74,,9,11.27
"Mortality, by week",I,BEL,Belgium,34,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,41,,9,11.27
"Mortality, by week",I,BEL,Belgium,35,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,24,,9,11.27
"Mortality, by week",I,BEL,Belgium,36,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,18,,9,11.27
"Mortality, by week",I,BEL,Belgium,37,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,17,,10,11.27
"Mortality, by week",I,BEL,Belgium,38,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,27,,10,11.27
"Mortality, by week",I,BEL,Belgium,39,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,39,,10,11.27
"Mortality, by week",I,BEL,Belgium,40,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,82,,10,11.27
"Mortality, by week",I,BEL,Belgium,41,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,140,,11,11.27
"Mortality, by week",I,BEL,Belgium,42,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,238,,11,11.27
"Mortality, by week",I,BEL,Belgium,43,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,505,,11,11.27
"Mortality, by week",I,BEL,Belgium,44,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1060,,11,11.27
"Mortality, by week",I,BEL,Belgium,45,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1435,,12,11.27
"Mortality, by week",I,BEL,Belgium,46,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1336,,12,11.27
"Mortality, by week",I,BEL,Belgium,47,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,1131,,12,11.27
"Mortality, by week",I,BEL,Belgium,48,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,882,,12,11.27
"Mortality, by week",I,BEL,Belgium,49,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,700,,12,11.27
"Mortality, by week",I,BEL,Belgium,50,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,665,,12,11.27
"Mortality, by week",I,BEL,Belgium,51,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,654,,12,11.27
"Mortality, by week",I,BEL,Belgium,52,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,536,,12,11.27
"Mortality, by week",I,BEL,Belgium,53,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,454,,12,11.27
"Mortality, by week",I,CAN,Canada,1,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,13.024
"Mortality, by week",I,CAN,Canada,2,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,13.024
"Mortality, by week",I,CAN,Canada,3,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,13.024
"Mortality, by week",I,CAN,Canada,4,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,13.024
"Mortality, by week",I,CAN,Canada,5,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,13.024
"Mortality, by week",I,CAN,Canada,6,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,13.024
"Mortality, by week",I,CAN,Canada,7,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,13.024
"Mortality, by week",I,CAN,Canada,8,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,13.024
"Mortality, by week",I,CAN,Canada,9,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,13.024
"Mortality, by week",I,CAN,Canada,10,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,13.024
