Year,Month,Country,Deaths,Expenditure
2020,9,Spain,1416,10.732
2020,9,Sweden,57,11.333
2020,9,Switzerland,24,12.004
2020,9,Türkiye,791,4.616
2020,9,United Kingdom,1467,11.965
2020,9,United States,24435,18.582
2020,10,Australia,124,10.66
2020,10,Austria,113,11.316
2020,10,Belgium,165,11.27
2020,10,Canada,266,13.024
2020,10,Chile,1368,9.697
2020,10,Colombia,5509,8.708
2020,10,Costa Rica,461,7.825
2020,10,Czechia,330,9.214
2020,10,Denmark,48,10.719
2020,10,Estonia,3,7.589
2020,10,Finland,13,9.632
2020,10,France,1884,12.072
2020,10,Germany,381,12.69
2020,10,Greece,123,9.524
2020,10,Hungary,231,7.285
2020,10,Iceland,0,9.649
2020,10,Ireland,45,7.063
2020,10,Israel,689,7.73
2020,10,Italy,527,9.625
2020,10,Japan,240,11.209
2020,10,Korea,87,8.355
2020,10,Latvia,4,7.285
2020,10,Lithuania,28,7.474
2020,10,Luxembourg,4,5.765
2020,10,Mexico,11589,6.054
2020,10,Netherlands,276,11.224
2020,10,New Zealand,1,9.732
2020,10,Norway,11,11.424
2020,10,Poland,509,6.497
2020,10,Portugal,175,10.548
2020,10,Slovak Republic,50,7.126
2020,10,Slovenia,28,9.428
2020,10,Spain,3334,10.732
2020,10,Sweden,53,11.333
2020,10,Switzerland,59,12.004
2020,10,Türkiye,1764,4.616
2020,10,United Kingdom,2535,11.965
2020,10,United States,17459,18.582
2020,11,Australia,8,10.66
2020,11,Austria,523,11.316
2020,11,Belgium,1943,11.27
2020,11,Canada,690,13.024
2020,11,Chile,1288,9.697
2020,11,Colombia,4738,8.708
2020,11,Costa Rica,441,7.825
2020,11,Czechia,3055,9.214
2020,11,Denmark,83,10.719
2020,11,Estonia,6,7.589
2020,11,Finland,15,9.632
2020,11,France,6654,12.072
2020,11,Germany,3347,12.69
2020,11,Greece,235,9.524
2020,11,Hungary,1149,7.285
2020,11,Iceland,7,9.649
2020,11,Ireland,126,7.063
2020,11,Israel,848,7.73
2020,11,Italy,4315,9.625
2020,11,Japan,169,11.209
2020,11,Korea,45,8.355
2020,11,Latvia,41,7.285
2020,11,Lithuania,157,7.474
2020,11,Luxembourg,38,5.765
2020,11,Mexico,11620,6.054
2020,11,Netherlands,1324,11.224
2020,11,New Zealand,0,9.732
2020,11,Norway,21,11.424
2020,11,Poland,3154,6.497
2020,11,Portugal,577,10.548
2020,11,Slovak Republic,419,7.126
2020,11,Slovenia,280,9.428
2020,11,Spain,5182,10.732
2020,11,Sweden,163,11.333
2020,11,Switzerland,480,12.004
2020,11,Türkiye,1868,4.616
2020,11,United Kingdom,11880,11.965
2020,11,United States,23058,18.582
2020,12,Australia,8,10.66
2020,12,Austria,6250,11.316
2020,12,Belgium,7793,11.27
2020,12,Canada,5572,13.024
2020,12,Chile,2517,9.697
2020,12,Colombia,12360,8.708
2020,12,Costa Rica,822,7.824999999999999
2020,12,Czechia,8633,9.214
2020,12,Denmark,245,10.719
2020,12,Estonia,176,7.589
2020,12,Finland,230,9.632
2020,12,France,37810,12.072
2020,12,Germany,39447,12.69
2020,12,Greece,4353,9.524
2020,12,Hungary,8555,7.285
2020,12,Iceland,12,9.649
2020,12,Ireland,413,7.063
2020,12,Israel,864,7.73
2020,12,Italy,39538,9.625
2020,12,Japan,1782,11.209
2020,12,Korea,496,8.355
2020,12,Latvia,648,7.285
2020,12,Lithuania,2251,7.474
2020,12,Luxembourg,158,5.765
2020,12,Mexico,41175,6.054
2020,12,Netherlands,4283,11.224
2020,12,New Zealand,0,9.732
2020,12,Norway,252,11.424
2020,12,Poland,23396,6.497
2020,12,Portugal,4624,10.548
2020,12,Slovak Republic,2901,7.126
2020,12,Slovenia,2687,9.428
2020,12,Spain,15195,10.732
2020,12,Sweden,4068,11.333
2020,12,Switzerland,5437,12.004
2020,12,Türkiye,11043,4.616
2020,12,United Kingdom,82773,11.965
2020,12,United States,158567,18.582
2021,1,Australia,1,10.425
2021,1,Austria,1655,12.152
2021,1,Belgium,1394,11.044
2021,1,Canada,4030,12.419
2021,1,Chile,1615,9.718
2021,1,Colombia,9789,9.017
2021,1,Costa Rica,411,7.529
2021,1,Czechia,4413,9.489
2021,1,Denmark,0,10.747
2021,1,Estonia,171,7.545
2021,1,Finland,102,9.835
2021,1,France,13474,12.292
2021,1,Germany,18064,12.902
2021,1,Greece,823,9.185
2021,1,Hungary,2613,7.382
2021,1,Iceland,0,9.71
2021,1,Ireland,1390,6.596
2021,1,Israel,1332,7.653
2021,1,Italy,12662,9.346
2021,1,Japan,2106,11.19
2021,1,Korea,458,8.957
2021,1,Latvia,635,9.11
2021,1,Lithuania,685,7.76
2021,1,Luxembourg,42,5.661
2021,1,Mexico,35749,5.892
2021,1,Netherlands,2143,11.125
2021,1,New Zealand,0,10.224
2021,1,Norway,82,9.814
2021,1,Poland,8115,6.439
2021,1,Portugal,5566,11.124
2021,1,Slovak Republic,2416,7.757
2021,1,Slovenia,728,9.481
2021,1,Spain,11128,10.309
2021,1,Sweden,2144,11.102
2021,1,Switzerland,1409,12.005
2021,1,Türkiye,4570,4.561
2021,1,United Kingdom,97305,12.019
2021,1,United States,95868,17.299
2021,2,Australia,1,10.425
2021,2,Austria,993,12.152
2021,2,Belgium,956,11.044
2021,2,Canada,2076,12.419
2021,2,Chile,2137,9.718
2021,2,Colombia,6234,9.017
2021,2,Costa Rica,196,7.529
2021,2,Czechia,4167,9.489
2021,2,Denmark,0,10.747
2021,2,Estonia,173,7.545
2021,2,Finland,83,9.835
2021,2,France,10692,12.292
2021,2,Germany,6653,12.902
2021,2,Greece,727,9.185
2021,2,Hungary,2314,7.382
2021,2,Iceland,0,9.71
2021,2,Ireland,893,6.596
2021,2,Israel,978,7.653
2021,2,Italy,8867,9.346
2021,2,Japan,2206,11.19
2021,2,Korea,183,8.957
2021,2,Latvia,405,9.11
2021,2,Lithuania,314,7.76
2021,2,Luxembourg,69,5.661
2021,2,Mexico,24793,5.892
2021,2,Netherlands,1485,11.125
2021,2,New Zealand,1,10.224
2021,2,Norway,28,9.814
2021,2,Poland,6628,6.439
2021,2,Portugal,3555,11.124
2021,2,Slovak Republic,2622,7.757
2021,2,Slovenia,317,9.481
2021,2,Spain,8781,10.309
2021,2,Sweden,792,11.102
2021,2,Switzerland,463,12.005
2021,2,Türkiye,2638,4.561
2021,2,United Kingdom,64755,12.019
2021,2,United States,50130,17.299
2021,3,Australia,1,10.425
2021,3,Austria,866,12.152
2021,3,Belgium,708,11.044
2021,3,Canada,891,12.419
2021,3,Chile,2177,9.718
2021,3,Colombia,3127,9.017
2021,3,Costa Rica,131,7.529
2021,3,Czechia,5593,9.489
2021,3,Denmark,0,10.747
2021,3,Estonia,276,7.545
2021,3,Finland,82,9.835
2021,3,France,7664,12.292
2021,3,Germany,4956,12.902
2021,3,Greece,1459,9.185
2021,3,Hungary,5608,7.382
2021,3,Iceland,0,9.71
2021,3,Ireland,236,6.596
2021,3,Israel,425,7.653
2021,3,Italy,10716,9.346
2021,3,Japan,1171,11.19
2021,3,Korea,119,8.957
2021,3,Latvia,249,9.11
2021,3,Lithuania,247,7.76
2021,3,Luxembourg,90,5.661
2021,3,Mexico,12623,5.892
2021,3,Netherlands,753,11.125
2021,3,New Zealand,0,10.224
2021,3,Norway,71,9.814
2021,3,Poland,8154,6.439
2021,3,Portugal,486,11.124
2021,3,Slovak Republic,2054,7.757
2021,3,Slovenia,186,9.481
2021,3,Spain,2769,10.309
2021,3,Sweden,523,11.102
2021,3,Switzerland,259,12.005
2021,3,Türkiye,2420,4.561
2021,3,United Kingdom,17289,12.019
2021,3,United States,21853,17.299
2021,4,Australia,3,10.425
2021,4,Austria,967,12.152
2021,4,Belgium,1077,11.044
2021,4,Canada,1026,12.419
2021,4,Chile,3089,9.718
2021,4,Colombia,7801,9.017
2021,4,Costa Rica,205,7.529
2021,4,Czechia,2823,9.489
2021,4,Denmark,0,10.747
2021,4,Estonia,198,7.545
2021,4,Finland,81,9.835
2021,4,France,8225,12.292
2021,4,Germany,6421,12.902
2021,4,Greece,2112,9.185
2021,4,Hungary,5610,7.382
2021,4,Iceland,0,9.71
2021,4,Ireland,115,6.596
2021,4,Israel,207,7.653
2021,4,Italy,10876,9.346
2021,4,Japan,882,11.19
2021,4,Korea,91,8.957
2021,4,Latvia,247,9.11
2021,4,Lithuania,290,7.76
2021,4,Luxembourg,31,5.661
2021,4,Mexico,7867,5.892
2021,4,Netherlands,576,11.125
2021,4,New Zealand,0,10.224
2021,4,Norway,50,9.814
2021,4,Poland,13588,6.439
2021,4,Portugal,122,11.124
2021,4,Slovak Republic,1057,7.757
2021,4,Slovenia,206,9.481
2021,4,Spain,2199,10.309
2021,4,Sweden,547,11.102
2021,4,Switzerland,234,12.005
2021,4,Türkiye,7088,4.561
2021,4,United Kingdom,4692,12.019
2021,4,United States,17614,17.299
2021,5,Australia,0,10.425
2021,5,Austria,529,12.152
2021,5,Belgium,778,11.044
2021,5,Canada,1267,12.419
2021,5,Chile,2644,9.718
2021,5,Colombia,13273,9.017
2021,5,Costa Rica,629,7.529
2021,5,Czechia,879,9.489
2021,5,Denmark,0,10.747
2021,5,Estonia,92,7.545
2021,5,Finland,42,9.835
2021,5,France,5736,12.292
2021,5,Germany,3441,12.902
2021,5,Greece,1709,9.185
2021,5,Hungary,1762,7.382
2021,5,Iceland,1,9.71
2021,5,Ireland,47,6.596
2021,5,Israel,44,7.653
2021,5,Italy,5330,9.346
2021,5,Japan,2399,11.19
2021,5,Korea,121,8.957
2021,5,Latvia,248,9.11
2021,5,Lithuania,250,7.76
2021,5,Luxembourg,11,5.661
2021,5,Mexico,4354,5.892
2021,5,Netherlands,451,11.125
2021,5,New Zealand,0,10.224
2021,5,Norway,14,9.814
2021,5,Poland,7568,6.439
2021,5,Portugal,52,11.124
2021,5,Slovak Republic,395,7.757
2021,5,Slovenia,131,9.481
2021,5,Spain,1527,10.309
2021,5,Sweden,403,11.102
2021,5,Switzerland,177,12.005
2021,5,Türkiye,8060,4.561
2021,5,United Kingdom,1950,12.019
2021,5,United States,15136,17.299
2021,6,Australia,0,10.425
2021,6,Austria,190,12.152
2021,6,Belgium,273,11.044
2021,6,Canada,845,12.419
2021,6,Chile,3006,9.718
2021,6,Colombia,15027,9.017
2021,6,Costa Rica,708,7.529
2021,6,Czechia,138,9.489
2021,6,Denmark,0,10.747
2021,6,Estonia,28,7.545
2021,6,Finland,26,9.835
2021,6,France,2104,12.292
2021,6,Germany,516,12.902
2021,6,Greece,754,9.185
2021,6,Hungary,287,7.382
2021,6,Iceland,0,9.71
2021,6,Ireland,24,6.596
2021,6,Israel,16,7.653
2021,6,Italy,1528,9.346
2021,6,Japan,2111,11.19
2021,6,Korea,70,8.957
2021,6,Latvia,147,9.11
2021,6,Lithuania,103,7.76
2021,6,Luxembourg,1,5.661
2021,6,Mexico,2794,5.892
2021,6,Netherlands,143,11.125
2021,6,New Zealand,0,10.224
2021,6,Norway,5,9.814
2021,6,Poland,1916,6.439
2021,6,Portugal,51,11.124
2021,6,Slovak Republic,117,7.757
2021,6,Slovenia,62,9.481
2021,6,Spain,675,10.309
2021,6,Sweden,125,11.102
2021,6,Switzerland,75,12.005
2021,6,Türkiye,3051,4.561
2021,6,United Kingdom,1269,12.019
2021,6,United States,8968,17.299
2021,7,Australia,7,10.425
2021,7,Austria,69,12.152
2021,7,Belgium,60,11.044
2021,7,Canada,458,12.419
2021,7,Chile,3011,9.718
2021,7,Colombia,16587,9.017
2021,7,Costa Rica,401,7.529
2021,7,Czechia,24,9.489
2021,7,Denmark,0,10.747
2021,7,Estonia,3,7.545
2021,7,Finland,6,9.835
2021,7,France,721,12.292
2021,7,Germany,110,12.902
2021,7,Greece,289,9.185
2021,7,Hungary,50,7.382
2021,7,Iceland,0,9.71
2021,7,Ireland,17,6.596
2021,7,Israel,18,7.653
2021,7,Italy,394,9.346
2021,7,Japan,625,11.19
2021,7,Korea,54,8.957
2021,7,Latvia,51,9.11
2021,7,Lithuania,17,7.76
2021,7,Luxembourg,2,5.661
2021,7,Mexico,4274,5.892
2021,7,Netherlands,40,11.125
2021,7,New Zealand,0,10.224
2021,7,Norway,5,9.814
2021,7,Poland,393,6.439
2021,7,Portugal,151,11.124
2021,7,Slovak Republic,28,7.757
2021,7,Slovenia,15,9.481
2021,7,Spain,453,10.309
2021,7,Sweden,22,11.102
2021,7,Switzerland,16,12.005
2021,7,Türkiye,1373,4.561
2021,7,United Kingdom,2205,12.019
2021,7,United States,6837,17.299
2021,8,Australia,55,10.425
2021,8,Austria,66,12.152
2021,8,Belgium,77,11.044
2021,8,Canada,203,12.419
2021,8,Chile,1928,9.718
2021,8,Colombia,7888,9.017
2021,8,Costa Rica,337,7.529
2021,8,Czechia,16,9.489
2021,8,Denmark,0,10.747
2021,8,Estonia,7,7.545
2021,8,Finland,33,9.835
2021,8,France,1251,12.292
2021,8,Germany,345,12.902
2021,8,Greece,392,9.185
2021,8,Hungary,18,7.382
2021,8,Iceland,0,9.71
2021,8,Ireland,47,6.596
2021,8,Israel,239,7.653
2021,8,Italy,555,9.346
2021,8,Japan,360,11.19
2021,8,Korea,109,8.957
2021,8,Latvia,14,9.11
2021,8,Lithuania,105,7.76
2021,8,Luxembourg,6,5.661
2021,8,Mexico,14432,5.892
2021,8,Netherlands,157,11.125
2021,8,New Zealand,0,10.224
2021,8,Norway,17,9.814
2021,8,Poland,92,6.439
2021,8,Portugal,357,11.124
2021,8,Slovak Republic,16,7.757
2021,8,Slovenia,3,9.481
2021,8,Spain,2466,10.309
2021,8,Sweden,21,11.102
2021,8,Switzerland,32,12.005
2021,8,Türkiye,2410,4.561
2021,8,United Kingdom,6372,12.019
2021,8,United States,22824,17.299
2021,9,Australia,150,10.425
2021,9,Austria,142,12.152
2021,9,Belgium,161,11.044
2021,9,Canada,470,12.419
2021,9,Chile,870,9.718
2021,9,Colombia,2308,9.017
2021,9,Costa Rica,543,7.529
2021,9,Czechia,28,9.489
2021,9,Denmark,0,10.747
2021,9,Estonia,34,7.545
2021,9,Finland,39,9.835
2021,9,France,2870,12.292
2021,9,Germany,1456,12.902
2021,9,Greece,973,9.185
2021,9,Hungary,67,7.382
2021,9,Iceland,3,9.71
2021,9,Ireland,140,6.596
2021,9,Israel,735,7.653
2021,9,Italy,1509,9.346
2021,9,Japan,1389,11.19
2021,9,Korea,193,8.957
2021,9,Latvia,65,9.11
2021,9,Lithuania,288,7.76
2021,9,Luxembourg,5,5.661
2021,9,Mexico,20731,5.892
2021,9,Netherlands,163,11.125
2021,9,New Zealand,1,10.224
2021,9,Norway,60,9.814
2021,9,Poland,124,6.439
2021,9,Portugal,289,11.124
2021,9,Slovak Republic,31,7.757
2021,9,Slovenia,48,9.481
2021,9,Spain,2358,10.309
2021,9,Sweden,105,11.102
2021,9,Switzerland,167,12.005
2021,9,Türkiye,6524,4.561
2021,9,United Kingdom,9609,12.019
2021,9,United States,57411,17.299
2021,10,Australia,401,10.425
2021,10,Austria,312,12.152
2021,10,Belgium,211,11.044
2021,10,Canada,1006,12.419
2021,10,Chile,353,9.718
2021,10,Colombia,1023,9.017
2021,10,Costa Rica,858,7.529
2021,10,Czechia,70,9.489
2021,10,Denmark,2,10.747
2021,10,Estonia,86,7.545
2021,10,Finland,68,9.835
2021,10,France,1468,12.292
2021,10,Germany,1651,12.902
2021,10,Greece,941,9.185
2021,10,Hungary,219,7.382
2021,10,Iceland,0,9.71
2021,10,Ireland,177,6.596
2021,10,Israel,519,7.653
2021,10,Italy,1271,9.346
2021,10,Japan,1144,11.19
2021,10,Korea,223,8.957
2021,10,Latvia,230,9.11
2021,10,Lithuania,578,7.76
2021,10,Luxembourg,7,5.661
2021,10,Mexico,12618,5.892
2021,10,Netherlands,117,11.125
2021,10,New Zealand,1,10.224
2021,10,Norway,38,9.814
2021,10,Poland,443,6.439
2021,10,Portugal,182,11.124
2021,10,Slovak Republic,267,7.757
2021,10,Slovenia,185,9.481
2021,10,Spain,969,10.309
2021,10,Sweden,182,11.102
2021,10,Switzerland,156,12.005
2021,10,Türkiye,6394,4.561
2021,10,United Kingdom,11874,12.019
2021,10,United States,53678,17.299
2021,11,Australia,422,10.425
2021,11,Austria,567,12.152
2021,11,Belgium,501,11.044
2021,11,Canada,943,12.419
2021,11,Chile,287,9.718
2021,11,Colombia,904,9.017
2021,11,Costa Rica,522,7.529
2021,11,Czechia,617,9.489
2021,11,Denmark,8,10.747
2021,11,Estonia,140,7.545
2021,11,Finland,108,9.835
2021,11,France,851,12.292
2021,11,Germany,4578,12.902
2021,11,Greece,1180,9.185
2021,11,Hungary,1372,7.382
2021,11,Iceland,1,9.71
2021,11,Ireland,249,6.596
2021,11,Israel,196,7.653
2021,11,Italy,1057,9.346
2021,11,Japan,369,11.19
2021,11,Korea,397,8.957
2021,11,Latvia,865,9.11
2021,11,Lithuania,1091,7.76
2021,11,Luxembourg,21,5.661
2021,11,Mexico,6173,5.892
2021,11,Netherlands,447,11.125
2021,11,New Zealand,4,10.224
2021,11,Norway,144,9.814
2021,11,Poland,1893,6.439
2021,11,Portugal,159,11.124
2021,11,Slovak Republic,753,7.757
2021,11,Slovenia,266,9.481
2021,11,Spain,454,10.309
2021,11,Sweden,118,11.102
2021,11,Switzerland,138,12.005
2021,11,Türkiye,5946,4.561
2021,11,United Kingdom,12315,12.019
2021,11,United States,34136,17.299
2021,12,Australia,517,10.425
2021,12,Austria,2677,12.152
2021,12,Belgium,2036,11.044
2021,12,Canada,1177,12.419
2021,12,Chile,1299,9.718
2021,12,Colombia,2486,9.017
2021,12,Costa Rica,223,7.529
2021,12,Czechia,5258,9.489
2021,12,Denmark,14,10.747
2021,12,Estonia,320,7.545
2021,12,Finland,416,9.835
2021,12,France,6190,12.292
2021,12,Germany,17777,12.902
2021,12,Greece,4647,9.185
2021,12,Hungary,8155,7.382
