Year,Month,Country,Deaths,Expenditure,Total ICU Beds
2020,9,Poland,313,6.497,
2020,9,Portugal,85,10.548,1199
2020,9,Spain,1416,10.732,5901
2020,9,Sweden,57,11.333,
2020,9,Switzerland,24,12.004,901
2020,9,Türkiye,791,4.616,32663
2020,9,United States of America,24435,18.582,70405
2020,10,Australia,124,10.66,2077
2020,10,Austria,113,11.316,1998
2020,10,Belgium,165,11.27,2001
2020,10,Canada,266,13.024,4678
2020,10,Costa Rica,461,7.825,318
2020,10,Czech Republic,330,9.214,4684
2020,10,Estonia,3,7.589,514
2020,10,France,1884,12.072,19073
2020,10,Germany,381,12.69,24697
2020,10,Greece,123,9.524,2138
2020,10,Hungary,231,7.285,1313
2020,10,Ireland,45,7.063,295
2020,10,Israel,689,7.73,940
2020,10,Italy,527,9.625,6874
2020,10,Japan,240,11.209,17578
2020,10,South Korea,87,8.355,8570
2020,10,Latvia,4,7.285,242
2020,10,Lithuania,28,7.474,621
2020,10,Luxembourg,4,5.765,132
2020,10,Netherlands,276,11.224,1215
2020,10,New Zealand,1,9.732,173
2020,10,Poland,509,6.497,
2020,10,Portugal,175,10.548,1199
2020,10,Spain,3334,10.732,5901
2020,10,Sweden,53,11.333,
2020,10,Switzerland,59,12.004,901
2020,10,Türkiye,1764,4.616,32663
2020,10,United States of America,17459,18.582,70405
2020,11,Australia,8,10.66,2077
2020,11,Austria,523,11.316,1998
2020,11,Belgium,1943,11.27,2001
2020,11,Canada,690,13.024,4678
2020,11,Costa Rica,441,7.825,318
2020,11,Czech Republic,3055,9.214,4684
2020,11,Estonia,6,7.589,514
2020,11,France,6654,12.072,19073
2020,11,Germany,3347,12.69,24697
2020,11,Greece,235,9.524,2138
2020,11,Hungary,1149,7.285,1313
2020,11,Ireland,126,7.063,295
2020,11,Israel,848,7.73,940
2020,11,Italy,4315,9.625,6874
2020,11,Japan,169,11.209,17578
2020,11,South Korea,45,8.355,8570
2020,11,Latvia,41,7.285,242
2020,11,Lithuania,157,7.474,621
2020,11,Luxembourg,38,5.765,132
2020,11,Netherlands,1324,11.224,1215
2020,11,New Zealand,0,9.732,173
2020,11,Poland,3154,6.497,
2020,11,Portugal,577,10.548,1199
2020,11,Spain,5182,10.732,5901
2020,11,Sweden,163,11.333,
2020,11,Switzerland,480,12.004,901
2020,11,Türkiye,1868,4.616,32663
2020,11,United States of America,23058,18.582,70405
2020,12,Australia,8,10.66,2077
2020,12,Austria,6250,11.316,1998
2020,12,Belgium,7793,11.27,2001
2020,12,Canada,5572,13.024,4678
2020,12,Costa Rica,822,7.825,318
2020,12,Czech Republic,8633,9.214,4684
2020,12,Estonia,176,7.589,514
2020,12,France,37810,12.072,19073
2020,12,Germany,39447,12.69,24697
2020,12,Greece,4353,9.524,2138
2020,12,Hungary,8555,7.285,1313
2020,12,Ireland,413,7.063,295
2020,12,Israel,864,7.73,940
2020,12,Italy,39538,9.625,6874
2020,12,Japan,1782,11.209,17578
2020,12,South Korea,496,8.355,8570
2020,12,Latvia,648,7.285,242
2020,12,Lithuania,2251,7.474,621
2020,12,Luxembourg,158,5.765,132
2020,12,Netherlands,4283,11.224,1215
2020,12,New Zealand,0,9.732,173
2020,12,Poland,23396,6.497,
2020,12,Portugal,4624,10.548,1199
2020,12,Spain,15195,10.732,5901
2020,12,Sweden,4068,11.333,
2020,12,Switzerland,5437,12.004,901
2020,12,Türkiye,11043,4.616,32663
2020,12,United States of America,158567,18.582,70405
2021,1,Australia,1,10.425,2144
2021,1,Austria,1655,12.152,2002
2021,1,Belgium,1394,11.044,1992
2021,1,Canada,4030,12.419,4891
2021,1,Costa Rica,411,7.529,405
2021,1,Czech Republic,4413,9.489,4780
2021,1,Estonia,171,7.545,546
2021,1,France,13474,12.292,18835
2021,1,Germany,18064,12.902,24341
2021,1,Greece,823,9.185,2180
2021,1,Hungary,2613,7.382,1641
2021,1,Ireland,1390,6.596,305
2021,1,Israel,1332,7.653,961
2021,1,Italy,12662,9.346,6845
2021,1,Japan,2106,11.19,18069
2021,1,South Korea,458,8.957,8861
2021,1,Latvia,635,9.11,426
2021,1,Lithuania,685,7.76,645
2021,1,Luxembourg,42,5.661,132
2021,1,Netherlands,2143,11.125,1151
2021,1,New Zealand,0,10.224,186
2021,1,Poland,8115,6.439,
2021,1,Portugal,5566,11.124,1059
2021,1,Spain,11128,10.309,9083
2021,1,Sweden,2144,11.102,512
2021,1,Switzerland,1409,12.005,857
2021,1,Türkiye,4570,4.561,33323
2021,1,United States of America,95868,17.299,70358
2021,2,Australia,1,10.425,2144
2021,2,Austria,993,12.152,2002
2021,2,Belgium,956,11.044,1992
2021,2,Canada,2076,12.419,4891
2021,2,Costa Rica,196,7.529,405
2021,2,Czech Republic,4167,9.489,4780
2021,2,Estonia,173,7.545,546
2021,2,France,10692,12.292,18835
2021,2,Germany,6653,12.902,24341
2021,2,Greece,727,9.185,2180
2021,2,Hungary,2314,7.382,1641
2021,2,Ireland,893,6.596,305
2021,2,Israel,978,7.653,961
2021,2,Italy,8867,9.346,6845
2021,2,Japan,2206,11.19,18069
2021,2,South Korea,183,8.957,8861
2021,2,Latvia,405,9.11,426
